Origin,Destination,Flight_Time,Departure Date,Return Date,Duration,Stops,Flight_Name,Price
Karachi,Dammam,2:15am - 9:00am,2023-05-10,2023-05-10,8h 45m (1 stop),2h 40m in Jeddah (JED),Saudi Arabian Airlines,562
Karachi,Dammam,2:15am - 11:10am,2023-05-10,2023-05-10,10h 55m (1 stop),4h 40m in Jeddah (JED),Saudi Arabian Airlines,562
Karachi,Dammam,2:15am - 1:10pm,2023-05-10,2023-05-10,12h 55m (1 stop),6h 40m in Jeddah (JED),Saudi Arabian Airlines,562
Karachi,Dubai,4:00am - 9:20am,2023-05-10,2023-05-10,6h 20m (1 stop),2h 15m in Abu Dhabi (AUH),Flight + Bus,398
Karachi,Dubai,4:00am - 11:25am,2023-05-10,2023-05-10,8h 25m (1 stop),4h 20m in Abu Dhabi (AUH),Flight + Bus,398
Karachi,Dubai,4:00am - 4:30pm,2023-05-10,2023-05-10,13h 30m (1 stop),9h 25m in Abu Dhabi (AUH),Flight + Bus,398
Karachi,London,4:00am - 1:15pm,2023-05-10,2023-05-10,13h 15m (1 stop),3h 5m in Doha (DOH),Qatar Airways,1082
Karachi,London,10:30am - 6:00pm,2023-05-10,2023-05-10,11h 30m (1 stop),1h 25m in Doha (DOH),Qatar Airways,1085
Karachi,London,4:00am - 2:10pm,2023-05-10,2023-05-10,14h 10m (1 stop),4h in Doha (DOH),Qatar Airways,1085
Karachi,Manchester,12:15pm - 7:15pm,2023-05-10,2023-05-10,11h 0m (1 stop),1h 10m in Dubai (DXB),Emirates,1151
Karachi,Manchester,2:45am - 12:00pm,2023-05-10,2023-05-10,13h 15m (1 stop),3h 40m in Dubai (DXB),Emirates,1151
Karachi,Manchester,2:45am - 7:15pm,2023-05-10,2023-05-10,20h 30m (1 stop),10h 45m in Dubai (DXB),Emirates,1151
Lahore,Toronto,4:50am - 2:55pm,2023-05-10,2023-05-10,19h 5m (1 stop),1h 45m in Abu Dhabi (AUH),Etihad Airways,3038
Lahore,Toronto,5:45am - 6:50pm,2023-05-10,2023-05-10,22h 5m (1 stop),5h 5m in Istanbul (IST),Turkish Airlines,3432
Lahore,Toronto,3:30am - 7:55pm,2023-05-10,2023-05-10,25h 25m (2 stops),2h 25m in Doha (DOH) - 3h 55m in London (LHR),British Airways ,6451
Lahore,Vancouver,3:30am - 3:39pm,2023-05-10,2023-05-10,24h 9m (2 stops),2h 25m in Doha (DOH) - 2h 10m in Seattle (SEA),Multiple airlines ,2437
Lahore,Vancouver,3:30am - 5:04pm,2023-05-10,2023-05-10,25h 34m (2 stops),2h 25m in Doha (DOH) - 3h 35m in Seattle (SEA),Multiple airlines ,2437
Lahore,Vancouver,3:30am - 5:04pm,2023-05-10,2023-05-10,25h 34m (2 stops),2h 25m in Doha (DOH) - 3h 35m in Seattle (SEA),Qatar Airways ,2448
Lahore,Montreal,5:45am - 5:40pm,2023-05-10,2023-05-10,20h 55m (1 stop),4h 45m in Istanbul (IST),Turkish Airlines,3300
Lahore,Montreal,3:30am - 2:00pm,2023-05-10,2023-05-10,19h 30m (1 stop),2h 15m in Doha (DOH),Qatar Airways,4110
Lahore,Edmonton,4:50am - 8:40pm,2023-05-10,2023-05-10,26h 50m (2 stops),1h 45m in Abu Dhabi (AUH) - 3h 35m in Toronto (YYZ),Multiple airlines,3955
Lahore,Riyadh,2:35am - 9:50am,2023-05-10,2023-05-10,9h 15m (1 stop),2h 15m in Jeddah (JED),Saudi Arabian Airlines,467
Lahore,Riyadh,2:35am - 10:50am,2023-05-10,2023-05-10,10h 15m (1 stop),3h 15m in Jeddah (JED),Saudi Arabian Airlines,467
Lahore,Riyadh,2:35am - 11:50am,2023-05-10,2023-05-10,11h 15m (1 stop),4h 15m in Jeddah (JED),Saudi Arabian Airlines,467
Lahore,Dammam,2:35am - 11:10am,2023-05-10,2023-05-10,10h 35m (1 stop),3h 15m in Jeddah (JED),Saudi Arabian Airlines,467
Lahore,Dammam,2:35am - 1:10pm,2023-05-10,2023-05-10,12h 35m (1 stop),5h 15m in Jeddah (JED),Saudi Arabian Airlines,467
Lahore,Dammam,2:35am - 3:00pm,2023-05-10,2023-05-10,14h 25m (1 stop),7h 15m in Jeddah (JED),Saudi Arabian Airlines,467
Lahore,Dubai,2:35am - 1:00pm,2023-05-10,2023-05-10,11h 25m (1 stop),3h 5m in Jeddah (JED),Saudi Arabian Airlines,527
Lahore,Dubai,2:35am - 4:00pm,2023-05-10,2023-05-10,14h 25m (1 stop),6h 10m in Jeddah (JED),Saudi Arabian Airlines,527
Lahore,Dubai,2:35am - 7:30pm,2023-05-10,2023-05-10,17h 55m (1 stop),9h 45m in Jeddah (JED),Saudi Arabian Airlines,527
Lahore,London,2:35am - 2:00pm,2023-05-10,2023-05-10,15h 25m (1 stop),3h 45m in Jeddah (JED),Saudi Arabian Airlines,1020
Lahore,London,9:00am - 6:40pm,2023-05-10,2023-05-10,13h 40m (1 stop),3h in Dubai (DXB),Emirates,1145
Lahore,London,9:00am - 8:15pm,2023-05-10,2023-05-10,15h 15m (1 stop),4h 30m in Dubai (DXB),Emirates,1145
Lahore,New York,4:50am - 4:00pm,2023-05-10,2023-05-10,20h 10m (1 stop),2h 35m in Abu Dhabi (AUH),Etihad Airways,1846
Lahore,New York,3:30am - 2:25pm,2023-05-10,2023-05-10,19h 55m (1 stop),2h 50m in Dubai (DXB),Emirates,1855
Lahore,New York,3:30am - 6:55pm,2023-05-10,2023-05-10,24h 25m (2 stops),4h 5m in Dubai (DXB) - 1h 50m in Milan (MXP),Emirates,1855
Lahore,Chicago,5:35am - 5:50pm,2023-05-10,2023-05-10,22h 15m (1 stop),4h 20m in Istanbul (IST),Pakistan International Airlines ,2134
Lahore,Chicago,3:30am - 3:00pm,2023-05-10,2023-05-10,21h 30m (1 stop),2h 20m in Doha (DOH),Multiple airlines ,2227
Lahore,Chicago,3:30am - 3:00pm,2023-05-10,2023-05-10,21h 30m (1 stop),2h 20m in Doha (DOH),Multiple airlines ,2331
Multan,Toronto,3:00am - 6:50pm,2023-05-10,2023-05-10,24h 50m (2 stops),4h 10m in Dubai (DXB) - 1h 40m in London (LHR),Multiple airlines,3335
Multan,Toronto,3:00am - 8:45pm,2023-05-10,2023-05-10,26h 45m (2 stops),4h 10m in Dubai (DXB) - 3h 45m in London (LHR),Multiple airlines,3335
Multan,Toronto,3:45am - 6:40pm,2023-05-10,2023-05-10,23h 55m (2 stops),2h 55m in Doha (DOH) - 2h 20m in Munich (MUC),Multiple airlines,3532
Multan,Vancouver,3:00am - 7:34pm,2023-05-10,2023-05-10,28h 34m (2 stops),4h 45m in Dubai (DXB) - 5h 15m in Seattle (SEA),Multiple airlines ,2614
Multan,Montreal,3:45am - 2:00pm,2023-05-10,2023-05-10,19h 15m (1 stop),2h 20m in Doha (DOH),Qatar Airways,3980
Multan,Riyadh,6:55am - 3:00pm,2023-05-10,2023-05-10,10h 5m (1 stop),5h 20m in Manama (BAH),Gulf Air,644
Multan,Riyadh,6:55am - 5:00pm,2023-05-10,2023-05-10,12h 5m (1 stop),7h 20m in Manama (BAH),Gulf Air,644
Multan,Riyadh,6:55am - 10:55am,2023-05-10,2023-05-10,6h 0m (1 stop),1h 15m in Manama (BAH),Gulf Air,666
Multan,Jeddah,6:55am - 12:30pm,2023-05-10,2023-05-10,7h 35m (1 stop),1h 40m in Manama (BAH),Gulf Air,668
Multan,Jeddah,6:55am - 3:40pm,2023-05-10,2023-05-10,10h 45m (1 stop),5h in Manama (BAH),Gulf Air,668
Multan,Jeddah,3:45am - 9:45am,2023-05-10,2023-05-10,8h 0m (1 stop),1h 45m in Doha (DOH),Qatar Airways,841
Multan,Dammam,3:00am - 8:10am,2023-05-10,2023-05-10,7h 10m (1 stop),2h 30m in Dubai (DXB),flydubai,500
Multan,Dammam,3:00am - 11:55am,2023-05-10,2023-05-10,10h 55m (1 stop),6h 15m in Dubai (DXB),flydubai,500
Multan,Dammam,3:00am - 2:25pm,2023-05-10,2023-05-10,13h 25m (1 stop),8h 45m in Dubai (DXB),flydubai,500
Multan,Abu Dhabi,6:55am - 12:45pm,2023-05-10,2023-05-10,6h 50m (1 stop),2h 15m in Manama (BAH),Gulf Air ,669
Multan,Abu Dhabi,6:55am - 6:35pm,2023-05-10,2023-05-10,12h 40m (1 stop),7h 55m in Manama (BAH),Gulf Air,669
Multan,Abu Dhabi,3:45am - 10:25am,2023-05-10,2023-05-10,7h 40m (1 stop),2h 50m in Doha (DOH),Qatar Airways,735
Multan,London,3:45am - 6:00pm,2023-05-10,2023-05-10,18h 15m (1 stop),7h 15m in Doha (DOH),Qatar Airways,1083
Multan,London,3:45am - 1:15pm,2023-05-10,2023-05-10,13h 30m (1 stop),2h 30m in Doha (DOH),Qatar Airways,1146
Multan,London,3:45am - 2:10pm,2023-05-10,2023-05-10,14h 25m (1 stop),3h 25m in Doha (DOH),Qatar Airways,1146
Multan,Manchester,3:00am - 12:00pm,2023-05-10,2023-05-10,13h 0m (1 stop),2h 15m in Dubai (DXB),Emirates ,1335
Multan,Manchester,3:00am - 7:15pm,2023-05-10,2023-05-10,20h 15m (1 stop),9h 20m in Dubai (DXB),Emirates ,1335
Multan,Manchester,3:45am - 1:25pm,2023-05-10,2023-05-10,13h 40m (1 stop),2h 35m in Doha (DOH),Qatar Airways,1613
Multan,New York,3:00am - 2:25pm,2023-05-10,2023-05-10,20h 25m (1 stop),3h 20m in Dubai (DXB),Emirates ,1909
Multan,New York,3:00am - 6:55pm,2023-05-10,2023-05-10,24h 55m (2 stops),4h 35m in Dubai (DXB) - 1h 50m in Milan (MXP),Emirates ,1909
Multan,New York,6:55am - 7:55pm,2023-05-10,2023-05-10,22h 0m (2 stops),2h in Manama (BAH) - 1h 55m in London (LHR),Gulf Air ,1923
Multan,Chicago,3:45am - 3:00pm,2023-05-10,2023-05-10,21h 15m (1 stop),2h 25m in Doha (DOH),Multiple airlines ,2331
Multan,Chicago,3:45am - 3:00pm,2023-05-10,2023-05-10,21h 15m (1 stop),2h 25m in Doha (DOH),American Airlines ,2356
Multan,Chicago,3:45am - 3:00pm,2023-05-10,2023-05-10,21h 15m (1 stop),2h 25m in Doha (DOH),Qatar Airways,2447
Peshawar,Toronto,3:55am - 6:40pm,2023-05-10,2023-05-10,23h 45m (2 stops),2h 40m in Doha (DOH) - 2h 20m in Munich (MUC),Multiple airlines,4386
Peshawar,Toronto,3:55am - 6:50pm,2023-05-10,2023-05-10,23h 55m (2 stops),2h 15m in Doha (DOH) - 2h 40m in London (LHR),Multiple airlines ,4664
Peshawar,Toronto,3:55am - 6:50pm,2023-05-10,2023-05-10,23h 55m (2 stops),3h 10m in Doha (DOH) - 1h 45m in London (LHR),Multiple airlines ,4664
Peshawar,Vancouver,3:55am - 3:39pm,2023-05-10,2023-05-10,23h 44m (2 stops),2h 15m in Doha (DOH) - 2h 10m in Seattle (SEA),Multiple airlines ,2270
Peshawar,Vancouver,3:55am - 5:04pm,2023-05-10,2023-05-10,25h 9m (2 stops),2h 15m in Doha (DOH) - 3h 35m in Seattle (SEA),Multiple airlines ,2270
Peshawar,Vancouver,3:55am - 5:04pm,2023-05-10,2023-05-10,25h 9m (2 stops),2h 15m in Doha (DOH) - 3h 35m in Seattle (SEA),Qatar Airways ,2281
Peshawar,Montreal,3:55am - 2:00pm,2023-05-10,2023-05-10,19h 5m (1 stop),2h 5m in Doha (DOH),Qatar Airways,4196
Peshawar,Riyadh,3:55am - 10:00am,2023-05-10,2023-05-10,8h 5m (1 stop),2h 50m in Doha (DOH),Qatar Airways,961
Peshawar,Riyadh,3:55am - 2:40pm,2023-05-10,2023-05-10,12h 45m (1 stop),7h 30m in Doha (DOH),Qatar Airways,965
Peshawar,Riyadh,9:00am - 5:00pm,2023-05-10,2023-05-10,10h 0m (1 stop),4h 40m in Dubai (DXB),Multiple airlines,2909
Peshawar,Dammam,3:55am - 8:55am,2023-05-10,2023-05-10,7h 0m (1 stop),2h 15m in Doha (DOH),Qatar Airways,1052
Peshawar,Dammam,3:55am - 3:20pm,2023-05-10,2023-05-10,13h 25m (1 stop),8h 40m in Doha (DOH),Qatar Airways,1056
Peshawar,Dammam,3:55am - 7:50pm,2023-05-10,2023-05-10,17h 55m (1 stop),13h 10m in Doha (DOH),Qatar Airways,1059
Peshawar,Dubai,3:55am - 8:55pm,2023-05-10,2023-05-10,18h 0m (1 stop),12h 55m in Doha (DOH),Qatar Airways,808
Peshawar,Dubai,3:55am - 8:55pm,2023-05-10,2023-05-10,18h 0m (1 stop),12h 55m in Doha (DOH),Qatar Airways,934
Peshawar,Dubai,3:55am - 3:40pm,2023-05-10,2023-05-10,12h 45m (2 stops),2h 10m in Doha (DOH) - 4h 10m in Muscat (MCT),Multiple airlines ,1067
Peshawar,Abu Dhabi,3:55am - 10:25am,2023-05-10,2023-05-10,7h 30m (1 stop),2h 35m in Doha (DOH),Qatar Airways,775
Peshawar,Abu Dhabi,3:55am - 4:15pm,2023-05-10,2023-05-10,13h 20m (1 stop),8h 25m in Doha (DOH),Qatar Airways,779
Peshawar,Abu Dhabi,9:00am - 5:15pm,2023-05-10,2023-05-10,9h 15m (1 stop),3h 40m in Dubai (DXB),Flight + Bus,1021
Peshawar,London,9:00am - 6:40pm,2023-05-10,2023-05-10,13h 40m (1 stop),2h 55m in Dubai (DXB),Emirates,1127
Peshawar,London,9:00am - 8:15pm,2023-05-10,2023-05-10,15h 15m (1 stop),4h 25m in Dubai (DXB),Emirates,1127
Peshawar,London,3:55am - 2:10pm,2023-05-10,2023-05-10,14h 15m (1 stop),3h 10m in Doha (DOH),Qatar Airways,1206
Peshawar,Manchester,9:00am - 7:15pm,2023-05-10,2023-05-10,14h 15m (1 stop),3h 10m in Dubai (DXB),Emirates,1003
Peshawar,Manchester,3:55am - 1:25pm,2023-05-10,2023-05-10,13h 30m (1 stop),2h 20m in Doha (DOH),Qatar Airways,1531
Peshawar,Manchester,9:00am - 7:15pm,2023-05-10,2023-05-10,14h 15m (1 stop),3h 10m in Dubai (DXB),Multiple airlines ,3488
Peshawar,New York,3:55am - 3:20pm,2023-05-10,2023-05-10,20h 25m (1 stop),2h 25m in Doha (DOH),Qatar Airways,2472
Peshawar,New York,3:55am - 3:20pm,2023-05-10,2023-05-10,20h 25m (1 stop),2h 25m in Doha (DOH),American Airlines ,2483
Peshawar,New York,3:55am - 3:20pm,2023-05-10,2023-05-10,20h 25m (1 stop),2h 25m in Doha (DOH),Multiple airlines ,2552
Peshawar,Los Angeles,3:55am - 2:20pm,2023-05-10,2023-05-10,22h 25m (1 stop),2h 35m in Doha (DOH),Qatar Airways,2276
Peshawar,Los Angeles,3:55am - 10:20pm,2023-05-10,2023-05-10,30h 25m (2 stops),2h 25m in Doha (DOH) - 2h 55m in Miami (MIA),American Airlines ,2315
Peshawar,Los Angeles,3:55am - 10:20pm,2023-05-10,2023-05-10,30h 25m (2 stops),2h 25m in Doha (DOH) - 2h 55m in Miami (MIA),Multiple airlines ,2315
Islamabad,Toronto,9:20am - 8:05am,2023-05-10,2023-05-11,31h 45m (1 stop),14h 25m in Dubai (DXB),Air Canada ,1954
Islamabad,Toronto,9:20am - 9:30am,2023-05-10,2023-05-11,33h 10m (1 stop),15h 55m in Dubai (DXB),Emirates,2177
Islamabad,Toronto,8:30am - 11:14pm,2023-05-10,2023-05-11,23h 44m (2 stops),2h 5m in London (LHR) - 2h 21m in Chicago (ORD),British Airways ,2247
Islamabad,Vancouver,3:35am - 5:04pm,2023-05-10,2023-05-11,25h 29m (2 stops),2h 40m in Doha (DOH) - 3h 35m in Seattle (SEA),Qatar Airways ,2428
Islamabad,Vancouver,3:35am - 3:39pm,2023-05-10,2023-05-11,24h 4m (2 stops),2h 40m in Doha (DOH) - 2h 10m in Seattle (SEA),Multiple airlines ,2546
Islamabad,Vancouver,3:35am - 5:04pm,2023-05-10,2023-05-11,25h 29m (2 stops),2h 40m in Doha (DOH) - 3h 35m in Seattle (SEA),Multiple airlines ,2546
Islamabad,Edmonton,5:05am - 11:07am,2023-05-10,2023-05-11,41h 2m (2 stops),5h 45m in Istanbul (IST) - 14h 50m in Montreal (YUL),Multiple airlines,2975
Islamabad,Edmonton,8:30am - 11:15pm,2023-05-10,2023-05-11,25h 45m (2 stops),2h 25m in London (LHR) - 2h 10m in Toronto (YYZ),Multiple airlines ,3609
Islamabad,Edmonton,4:25am - 8:40pm,2023-05-10,2023-05-11,27h 15m (2 stops),2h 10m in Abu Dhabi (AUH) - 3h 35m in Toronto (YYZ),Multiple airlines,3868
Islamabad,Ottawa,9:20am - 11:13am,2023-05-10,2023-05-11,34h 53m (2 stops),14h 25m in Dubai (DXB) - 2h 5m in Toronto (YYZ),Air Canada ,2531
Islamabad,Ottawa,9:20am - 1:13pm,2023-05-10,2023-05-11,36h 53m (2 stops),14h 25m in Dubai (DXB) - 4h 5m in Toronto (YYZ),Air Canada ,2531
Islamabad,Ottawa,9:20am - 4:13pm,2023-05-10,2023-05-11,39h 53m (2 stops),14h 25m in Dubai (DXB) - 7h 5m in Toronto (YYZ),Air Canada ,2531
Islamabad,Halifax,9:20am - 4:25pm,2023-05-10,2023-05-11,39h 5m (2 stops),14h 25m in Dubai (DXB) - 5h 15m in Toronto (YYZ),Air Canada ,2581
Islamabad,Halifax,5:05am - 12:01am,2023-05-10,2023-05-11,26h 56m (2 stops),5h 45m in Istanbul (IST) - 3h 50m in Montreal (YUL),Turkish Airlines ,2764
Islamabad,Halifax,8:30am - 1:10am,2023-05-10,2023-05-11,24h 40m (2 stops),2h 25m in London (LHR) - 3h 15m in Toronto (YYZ),Multiple airlines ,3301
Islamabad,Quebec City,9:20am - 4:56pm,2023-05-10,2023-05-11,40h 36m (2 stops),14h 25m in Dubai (DXB) - 7h 25m in Toronto (YYZ),Air Canada ,2531
Islamabad,Quebec City,5:05am - 10:58pm,2023-05-10,2023-05-11,26h 53m (2 stops),5h 45m in Istanbul (IST) - 4h 20m in Montreal (YUL),Multiple airlines ,2672
Islamabad,Quebec City,5:05am - 9:01pm,2023-05-10,2023-05-11,24h 56m (2 stops),5h 45m in Istanbul (IST) - 2h 20m in Montreal (YUL),Multiple airlines ,2782
Islamabad,Winnipeg,9:20am - 11:40am,2023-05-10,2023-05-11,36h 20m (2 stops),14h 25m in Dubai (DXB) - 1h 55m in Toronto (YYZ),Air Canada ,2497
Islamabad,Winnipeg,4:25am - 7:10pm,2023-05-10,2023-05-11,24h 45m (2 stops),2h 10m in Abu Dhabi (AUH) - 2h 40m in Toronto (YYZ),Multiple airlines,2576
Islamabad,Winnipeg,4:25am - 11:53pm,2023-05-10,2023-05-11,29h 28m (2 stops),2h 10m in Abu Dhabi (AUH) - 7h 20m in Toronto (YYZ),Multiple airlines,2576
Islamabad,Dammam,3:05am - 11:10am,2023-05-10,2023-05-11,10h 5m (1 stop),2h 45m in Jeddah (JED),Saudi Arabian Airlines,501
Islamabad,Dammam,3:05am - 1:10pm,2023-05-10,2023-05-11,12h 5m (1 stop),4h 45m in Jeddah (JED),Saudi Arabian Airlines,501
Islamabad,Dammam,3:05am - 3:00pm,2023-05-10,2023-05-11,13h 55m (1 stop),6h 45m in Jeddah (JED),Saudi Arabian Airlines,501
Islamabad,Dubai,10:00pm - 3:15pm,2023-05-10,2023-05-11,18h 15m (1 stop),14h in Karachi (KHI),Pakistan International Airlines,394
Islamabad,Dubai,7:00pm - 3:15pm,2023-05-10,2023-05-11,21h 15m (1 stop),17h in Karachi (KHI),Pakistan International Airlines,394
Islamabad,Dubai,4:00pm - 3:15pm,2023-05-10,2023-05-11,24h 15m (1 stop),20h in Karachi (KHI),Pakistan International Airlines,394
Islamabad,London,5:30am - 2:45pm,2023-05-10,2023-05-11,13h 15m (1 stop),2h 50m in Kuwait City (KWI),Kuwait Airways,1072
Islamabad,London,9:20am - 8:15pm,2023-05-10,2023-05-11,14h 55m (1 stop),4h 10m in Dubai (DXB),Emirates,1086
Islamabad,London,3:35am - 7:00am,2023-05-10,2023-05-11,31h 25m (1 stop),20h 25m in Doha (DOH),Qatar Airways,1144
Islamabad,Manchester,9:20am - 7:15pm,2023-05-10,2023-05-11,13h 55m (1 stop),2h 55m in Dubai (DXB),Emirates,1084
Islamabad,Manchester,9:20am - 7:45am,2023-05-10,2023-05-11,26h 25m (1 stop),15h 25m in Dubai (DXB),Emirates,1084
Islamabad,Manchester,9:20am - 12:00pm,2023-05-10,2023-05-11,30h 40m (1 stop),19h 50m in Dubai (DXB),Emirates,1084
Karachi,Vancouver,4:00am - 5:04pm,2023-05-10,2023-05-11,25h 4m (2 stops),3h 5m in Doha (DOH) - 3h 35m in Seattle (SEA),Qatar Airways ,1643
Karachi,Vancouver,4:00am - 5:04pm,2023-05-10,2023-05-11,25h 4m (2 stops),3h 5m in Doha (DOH) - 3h 35m in Seattle (SEA),Multiple airlines ,1771
Karachi,Vancouver,4:00am - 7:27pm,2023-05-10,2023-05-11,27h 27m (2 stops),3h 20m in Doha (DOH) - 3h 15m in San Francisco (SFO),Multiple airlines,1771
Karachi,Montreal,4:00am - 10:46pm,2023-05-10,2023-05-11,27h 46m (2 stops),3h 10m in Doha (DOH) - 5h 45m in Philadelphia (PHL),American Airlines ,2130
Karachi,Montreal,4:00am - 10:56pm,2023-05-10,2023-05-11,27h 56m (2 stops),3h 15m in Doha (DOH) - 2h 43m in Miami (MIA),American Airlines ,2138
Karachi,Montreal,5:55am - 5:40pm,2023-05-10,2023-05-11,20h 45m (1 stop),5h in Istanbul (IST),Turkish Airlines,2142
Karachi,Calgary,5:55am - 10:55am,2023-05-10,2023-05-11,40h 0m (2 stops),5h in Istanbul (IST) - 14h 50m in Montreal (YUL),Turkish Airlines ,2702
Karachi,Calgary,2:45am - 12:04pm,2023-05-10,2023-05-11,44h 19m (2 stops),5h 10m in Dubai (DXB) - 17h 45m in Los Angeles (LAX),Multiple airlines,2734
Karachi,Calgary,2:45am - 8:51pm,2023-05-10,2023-05-11,29h 6m (2 stops),4h 45m in Dubai (DXB) - 3h in New York (JFK),Emirates ,2740
Karachi,Edmonton,5:55am - 2:51pm,2023-05-10,2023-05-11,43h 56m (2 stops),4h 25m in Istanbul (IST) - 19h 45m in Seattle (SEA),Multiple airlines ,2050
Karachi,Edmonton,10:30pm - 5:05pm,2023-05-10,2023-05-11,29h 35m (2 stops),2h 15m in Dubai (DXB) - 6h 45m in Toronto (YYZ),Air Canada ,2749
Karachi,Edmonton,10:30pm - 5:05pm,2023-05-10,2023-05-11,29h 35m (2 stops),2h 15m in Dubai (DXB) - 6h 45m in Toronto (YYZ),Multiple airlines,2749
Karachi,Ottawa,4:00am - 7:34pm,2023-05-10,2023-05-11,24h 34m (2 stops),3h 5m in Doha (DOH) - 3h 10m in Boston (BOS),Multiple airlines ,2024
Karachi,Ottawa,10:30pm - 1:13pm,2023-05-10,2023-05-11,23h 43m (2 stops),2h 15m in Dubai (DXB) - 4h 5m in Toronto (YYZ),Air Canada ,2391
